trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
223,False,"{'a': 0.65, 'e': 0.011562363287468406}",25,15,15.92517591414049,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.65, 'e': 0.011333413154667264}",25,20,9.25804172580814,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.65, 'e': 0.01110899653824218}",20,14,10.164493769638364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.65, 'e': 0.01088902366855432}",20,1,32.7681326630758,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.65, 'e': 0.010673406553522802}",20,9,19.202811131080896,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.65, 'e': 0.010462058943426677}",30,12,28.41173933789984,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.65, 'e': 0.010254896296403903}",25,11,17.494518113109987,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.65, 'e': 0.010051835744633463}",25,18,12.73724272187922,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.65, 'e': 0.009852796061187141}",20,11,18.08586437718065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,25.969697214379423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,20,19.978118773260846,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,10,30.1114357598196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,2,42.598277811665056,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,13.464208865282782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,11,34.21768645951622,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.090064904691302,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,23.984287978281447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,18.991973594322406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,15,20.073815981715455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
