trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.65, 'e': 0.4317105234290788}",25,19,7.438767757862579,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.65, 'e': 0.4231620823177479}",25,13,16.909308755922066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.65, 'e': 0.41478291168158044}",20,0,-66.68583709542737,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.65, 'e': 0.40656965974059817}",25,0,-106.90859605773241,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.65, 'e': 0.39851904108451325}",25,0,-42.35633087693156,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.65, 'e': 0.3906278353585202}",20,0,-12.103437359932528,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.65, 'e': 0.3828928859751111}",25,7,6.21441808136867,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.65, 'e': 0.37531109885139863}",25,14,2.802717964169479,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.65, 'e': 0.3678794411714414}",25,14,2.9738192287503207,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.65, 'e': 0.36059494017307736}",25,0,-40.40651665898377,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.65, 'e': 0.3534546819587792}",20,0,-87.95936609309348,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.65, 'e': 0.3464558103300565}",30,0,-72.67123951879695,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
54,False,"{'a': 0.65, 'e': 0.3395955256449382}",20,0,-33.22888620741635,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.65, 'e': 0.3328710836980786}",20,0,16.19118230143189,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.65, 'e': 0.3262797946230385}",20,0,15.083212120402893,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.65, 'e': 0.31981902181630295}",25,9,-7.024034715750655,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.65, 'e': 0.3134861808826044}",20,7,-26.207938873241925,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.65, 'e': 0.3072787386011303}",30,7,-30.244354244410836,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
60,False,"{'a': 0.65, 'e': 0.3011942119122012}",20,0,24.313308877754253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.65, 'e': 0.2952301669240133}",25,0,-84.80623358812811,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.65, 'e': 0.2893842179390498}",35,0,-65.5352954293077,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.65, 'e': 0.2836540264997695}",30,1,5.834142804163154,"{0: 24, 1: 5, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.65, 'e': 0.27803730045319325}",25,20,10.138008213592151,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.65, 'e': 0.2725317930340117}",30,21,15.023811592385291,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.65, 'e': 0.2671353019658495}",25,0,-20.041971157720955,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.65, 'e': 0.26184566858032515}",25,9,20.79619863881982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.65, 'e': 0.25666077695355505}",20,0,-79.05886442464816,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
69,False,"{'a': 0.65, 'e': 0.2515785530597557}",20,16,7.639175194886146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.65, 'e': 0.24659696394160566}",25,0,-23.097027138413146,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.65, 'e': 0.24171401689703562}",25,19,-5.371648547877231,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.65, 'e': 0.23692775868212093}",30,11,-64.54551511805093,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
73,False,"{'a': 0.65, 'e': 0.232236274729758}",25,13,0.9129271066841649,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.65, 'e': 0.22763768838381193}",25,0,-52.46401354980969,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
75,False,"{'a': 0.65, 'e': 0.223130160148429}",35,9,6.907065122442158,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.65, 'e': 0.21871188695221394}",25,7,22.492242002034907,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.65, 'e': 0.21438110142697714}",30,22,9.313837209235137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.65, 'e': 0.2101360712007639}",25,0,-50.47153081123169,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
79,False,"{'a': 0.65, 'e': 0.20597509820488263}",25,0,-31.912033343849938,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.65, 'e': 0.20189651799465458}",25,0,7.365361813042307,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.65, 'e': 0.19789869908361385}",20,0,18.854866918019578,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.65, 'e': 0.19398004229089108}",20,16,7.972554110512859,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.65, 'e': 0.19013898010151972}",20,16,8.180340933915003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.65, 'e': 0.18637397603940917}",20,12,3.188416514898431,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.65, 'e': 0.18268352405273386}",25,12,23.315626695964898,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.65, 'e': 0.17906614791149245}",35,17,16.901664465235108,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.65, 'e': 0.1755204006169961}",25,1,-57.72280363302657,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
88,False,"{'a': 0.65, 'e': 0.17204486382304976}",25,14,-18.801303463689077,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.65, 'e': 0.16863814726859475}",25,4,14.394374950119298,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.65, 'e': 0.16529888822158578}",30,9,-49.93502475945454,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
91,False,"{'a': 0.65, 'e': 0.16202575093388003}",30,0,-10.348628439887946,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.65, 'e': 0.15881742610691996}",20,9,20.624534488676012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.65, 'e': 0.15567263036799658}",20,4,-4.3397431991753885,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.65, 'e': 0.15259010575688314}",25,20,5.84791270856356,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.65, 'e': 0.14956861922263434}",20,10,19.60739924694169,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.65, 'e': 0.14660696213034943}",20,0,-18.760035420047846,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.65, 'e': 0.14370394977770223}",30,3,-10.928737098655496,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 0}",1
